bikes,year,month,day,hourfrom,dayofyear
11,2020,1,1,0,1
12,2020,1,1,1,1
7,2020,1,1,2,1
9,2020,1,1,3,1
11,2020,1,1,4,1
5,2020,1,1,5,1
12,2020,1,1,6,1
6,2020,1,1,7,1
7,2020,1,1,8,1
3,2020,1,1,9,1
7,2020,1,1,10,1
9,2020,1,1,11,1
21,2020,1,1,12,1
15,2020,1,1,13,1
28,2020,1,1,14,1
18,2020,1,1,15,1
15,2020,1,1,16,1
14,2020,1,1,17,1
22,2020,1,1,18,1
20,2020,1,1,19,1
6,2020,1,1,20,1
7,2020,1,1,21,1
5,2020,1,1,22,1
3,2020,1,1,23,1
1,2020,1,2,0,2
1,2020,1,2,1,2
1,2020,1,2,2,2
2,2020,1,2,3,2
3,2020,1,2,4,2
10,2020,1,2,5,2
25,2020,1,2,6,2
93,2020,1,2,7,2
75,2020,1,2,8,2
52,2020,1,2,9,2
35,2020,1,2,10,2
35,2020,1,2,11,2
49,2020,1,2,12,2
55,2020,1,2,13,2
52,2020,1,2,14,2
58,2020,1,2,15,2
61,2020,1,2,16,2
58,2020,1,2,17,2
47,2020,1,2,18,2
29,2020,1,2,19,2
21,2020,1,2,20,2
15,2020,1,2,21,2
12,2020,1,2,22,2
5,2020,1,2,23,2
3,2020,1,3,0,3
5,2020,1,3,1,3
1,2020,1,3,2,3
5,2020,1,3,3,3
4,2020,1,3,4,3
7,2020,1,3,5,3
40,2020,1,3,6,3
113,2020,1,3,7,3
83,2020,1,3,8,3
63,2020,1,3,9,3
50,2020,1,3,10,3
45,2020,1,3,11,3
64,2020,1,3,12,3
52,2020,1,3,13,3
59,2020,1,3,14,3
54,2020,1,3,15,3
66,2020,1,3,16,3
72,2020,1,3,17,3
47,2020,1,3,18,3
34,2020,1,3,19,3
30,2020,1,3,20,3
15,2020,1,3,21,3
4,2020,1,3,22,3
13,2020,1,3,23,3
10,2020,1,4,0,4
3,2020,1,4,1,4
7,2020,1,4,2,4
3,2020,1,4,3,4
2,2020,1,4,4,4
7,2020,1,4,5,4
13,2020,1,4,6,4
7,2020,1,4,7,4
24,2020,1,4,8,4
37,2020,1,4,9,4
28,2020,1,4,10,4
25,2020,1,4,11,4
28,2020,1,4,12,4
33,2020,1,4,13,4
35,2020,1,4,14,4
51,2020,1,4,15,4
54,2020,1,4,16,4
48,2020,1,4,17,4
31,2020,1,4,18,4
36,2020,1,4,19,4
17,2020,1,4,20,4
9,2020,1,4,21,4
18,2020,1,4,22,4
13,2020,1,4,23,4
5,2020,1,5,0,5
7,2020,1,5,1,5
7,2020,1,5,2,5
1,2020,1,5,3,5
9,2020,1,5,4,5
9,2020,1,5,5,5
16,2020,1,5,6,5
4,2020,1,5,7,5
9,2020,1,5,8,5
25,2020,1,5,9,5
30,2020,1,5,10,5
43,2020,1,5,11,5
48,2020,1,5,12,5
45,2020,1,5,13,5
42,2020,1,5,14,5
59,2020,1,5,15,5
51,2020,1,5,16,5
40,2020,1,5,17,5
31,2020,1,5,18,5
21,2020,1,5,19,5
14,2020,1,5,20,5
14,2020,1,5,21,5
19,2020,1,5,22,5
5,2020,1,5,23,5
0,2020,1,6,0,6
3,2020,1,6,1,6
2,2020,1,6,2,6
2,2020,1,6,3,6
3,2020,1,6,4,6
19,2020,1,6,5,6
95,2020,1,6,6,6
233,2020,1,6,7,6
217,2020,1,6,8,6
57,2020,1,6,9,6
54,2020,1,6,10,6
65,2020,1,6,11,6
79,2020,1,6,12,6
88,2020,1,6,13,6
71,2020,1,6,14,6
86,2020,1,6,15,6
155,2020,1,6,16,6
215,2020,1,6,17,6
121,2020,1,6,18,6
59,2020,1,6,19,6
35,2020,1,6,20,6
