pedestrians,year,month,day,hourfrom,dayofyear
335,2020,1,1,00:00,1
351,2020,1,1,01:00,1
107,2020,1,1,02:00,1
64,2020,1,1,03:00,1
48,2020,1,1,04:00,1
25,2020,1,1,05:00,1
17,2020,1,1,06:00,1
14,2020,1,1,07:00,1
4,2020,1,1,08:00,1
12,2020,1,1,09:00,1
11,2020,1,1,10:00,1
21,2020,1,1,11:00,1
16,2020,1,1,12:00,1
41,2020,1,1,13:00,1
36,2020,1,1,14:00,1
62,2020,1,1,15:00,1
42,2020,1,1,16:00,1
48,2020,1,1,17:00,1
45,2020,1,1,18:00,1
46,2020,1,1,19:00,1
34,2020,1,1,20:00,1
36,2020,1,1,21:00,1
28,2020,1,1,22:00,1
15,2020,1,1,23:00,1
11,2020,1,2,00:00,2
7,2020,1,2,01:00,2
5,2020,1,2,02:00,2
1,2020,1,2,03:00,2
2,2020,1,2,04:00,2
8,2020,1,2,05:00,2
10,2020,1,2,06:00,2
14,2020,1,2,07:00,2
37,2020,1,2,08:00,2
35,2020,1,2,09:00,2
28,2020,1,2,10:00,2
31,2020,1,2,11:00,2
54,2020,1,2,12:00,2
48,2020,1,2,13:00,2
50,2020,1,2,14:00,2
60,2020,1,2,15:00,2
53,2020,1,2,16:00,2
47,2020,1,2,17:00,2
55,2020,1,2,18:00,2
48,2020,1,2,19:00,2
52,2020,1,2,20:00,2
33,2020,1,2,21:00,2
23,2020,1,2,22:00,2
16,2020,1,2,23:00,2
9,2020,1,3,00:00,3
13,2020,1,3,01:00,3
5,2020,1,3,02:00,3
2,2020,1,3,03:00,3
1,2020,1,3,04:00,3
6,2020,1,3,05:00,3
6,2020,1,3,06:00,3
20,2020,1,3,07:00,3
38,2020,1,3,08:00,3
40,2020,1,3,09:00,3
32,2020,1,3,10:00,3
65,2020,1,3,11:00,3
52,2020,1,3,12:00,3
81,2020,1,3,13:00,3
75,2020,1,3,14:00,3
59,2020,1,3,15:00,3
78,2020,1,3,16:00,3
75,2020,1,3,17:00,3
50,2020,1,3,18:00,3
47,2020,1,3,19:00,3
47,2020,1,3,20:00,3
33,2020,1,3,21:00,3
25,2020,1,3,22:00,3
20,2020,1,3,23:00,3
27,2020,1,4,00:00,4
14,2020,1,4,01:00,4
18,2020,1,4,02:00,4
9,2020,1,4,03:00,4
2,2020,1,4,04:00,4
15,2020,1,4,05:00,4
5,2020,1,4,06:00,4
5,2020,1,4,07:00,4
13,2020,1,4,08:00,4
28,2020,1,4,09:00,4
30,2020,1,4,10:00,4
51,2020,1,4,11:00,4
42,2020,1,4,12:00,4
30,2020,1,4,13:00,4
53,2020,1,4,14:00,4
60,2020,1,4,15:00,4
58,2020,1,4,16:00,4
48,2020,1,4,17:00,4
59,2020,1,4,18:00,4
46,2020,1,4,19:00,4
40,2020,1,4,20:00,4
55,2020,1,4,21:00,4
28,2020,1,4,22:00,4
17,2020,1,4,23:00,4
17,2020,1,5,00:00,5
11,2020,1,5,01:00,5
11,2020,1,5,02:00,5
6,2020,1,5,03:00,5
7,2020,1,5,04:00,5
2,2020,1,5,05:00,5
4,2020,1,5,06:00,5
6,2020,1,5,07:00,5
18,2020,1,5,08:00,5
27,2020,1,5,09:00,5
36,2020,1,5,10:00,5
48,2020,1,5,11:00,5
54,2020,1,5,12:00,5
54,2020,1,5,13:00,5
59,2020,1,5,14:00,5
104,2020,1,5,15:00,5
40,2020,1,5,16:00,5
75,2020,1,5,17:00,5
52,2020,1,5,18:00,5
69,2020,1,5,19:00,5
64,2020,1,5,20:00,5
24,2020,1,5,21:00,5
17,2020,1,5,22:00,5
10,2020,1,5,23:00,5
10,2020,1,6,00:00,6
3,2020,1,6,01:00,6
3,2020,1,6,02:00,6
4,2020,1,6,03:00,6
1,2020,1,6,04:00,6
10,2020,1,6,05:00,6
11,2020,1,6,06:00,6
47,2020,1,6,07:00,6
72,2020,1,6,08:00,6
40,2020,1,6,09:00,6
31,2020,1,6,10:00,6
23,2020,1,6,11:00,6
42,2020,1,6,12:00,6
58,2020,1,6,13:00,6
57,2020,1,6,14:00,6
47,2020,1,6,15:00,6
58,2020,1,6,16:00,6
90,2020,1,6,17:00,6
54,2020,1,6,18:00,6
59,2020,1,6,19:00,6
33,2020,1,6,20:00,6
30,2020,1,6,21:00,6
20,2020,1,6,22:00,6
8,2020,1,6,23:00,6
9,2020,1,7,00:00,7
3,2020,1,7,01:00,7
5,2020,1,7,02:00,7
1,2020,1,7,03:00,7
2,2020,1,7,04:00,7
5,2020,1,7,05:00,7
15,2020,1,7,06:00,7
40,2020,1,7,07:00,7
57,2020,1,7,08:00,7
57,2020,1,7,09:00,7
35,2020,1,7,10:00,7
50,2020,1,7,11:00,7
72,2020,1,7,12:00,7
54,2020,1,7,13:00,7
56,2020,1,7,14:00,7
53,2020,1,7,15:00,7
71,2020,1,7,16:00,7
81,2020,1,7,17:00,7
89,2020,1,7,18:00,7
40,2020,1,7,19:00,7
34,2020,1,7,20:00,7
38,2020,1,7,21:00,7
29,2020,1,7,22:00,7
13,2020,1,7,23:00,7
11,2020,1,8,00:00,8
12,2020,1,8,01:00,8
4,2020,1,8,02:00,8
7,2020,1,8,03:00,8
2,2020,1,8,04:00,8
8,2020,1,8,05:00,8
9,2020,1,8,06:00,8
62,2020,1,8,07:00,8
59,2020,1,8,08:00,8
42,2020,1,8,09:00,8
49,2020,1,8,10:00,8
26,2020,1,8,11:00,8
58,2020,1,8,12:00,8
54,2020,1,8,13:00,8
48,2020,1,8,14:00,8
47,2020,1,8,15:00,8
72,2020,1,8,16:00,8
65,2020,1,8,17:00,8
56,2020,1,8,18:00,8
58,2020,1,8,19:00,8
37,2020,1,8,20:00,8
40,2020,1,8,21:00,8
29,2020,1,8,22:00,8
27,2020,1,8,23:00,8
18,2020,1,9,00:00,9
1,2020,1,9,01:00,9
4,2020,1,9,02:00,9
2,2020,1,9,03:00,9
3,2020,1,9,04:00,9
8,2020,1,9,05:00,9
15,2020,1,9,06:00,9
41,2020,1,9,07:00,9
61,2020,1,9,08:00,9
51,2020,1,9,09:00,9
42,2020,1,9,10:00,9
34,2020,1,9,11:00,9
58,2020,1,9,12:00,9
56,2020,1,9,13:00,9
57,2020,1,9,14:00,9
56,2020,1,9,15:00,9
40,2020,1,9,16:00,9
70,2020,1,9,17:00,9
65,2020,1,9,18:00,9
76,2020,1,9,19:00,9
51,2020,1,9,20:00,9
48,2020,1,9,21:00,9
29,2020,1,9,22:00,9
16,2020,1,9,23:00,9
25,2020,1,10,00:00,10
8,2020,1,10,01:00,10
4,2020,1,10,02:00,10
10,2020,1,10,03:00,10
6,2020,1,10,04:00,10
2,2020,1,10,05:00,10
18,2020,1,10,06:00,10
37,2020,1,10,07:00,10
40,2020,1,10,08:00,10
54,2020,1,10,09:00,10
62,2020,1,10,10:00,10
66,2020,1,10,11:00,10
66,2020,1,10,12:00,10
66,2020,1,10,13:00,10
116,2020,1,10,14:00,10
54,2020,1,10,15:00,10
92,2020,1,10,16:00,10
65,2020,1,10,17:00,10
95,2020,1,10,18:00,10
72,2020,1,10,19:00,10
66,2020,1,10,20:00,10
55,2020,1,10,21:00,10
40,2020,1,10,22:00,10
49,2020,1,10,23:00,10
35,2020,1,11,00:00,11
19,2020,1,11,01:00,11
17,2020,1,11,02:00,11
13,2020,1,11,03:00,11
12,2020,1,11,04:00,11
16,2020,1,11,05:00,11
9,2020,1,11,06:00,11
9,2020,1,11,07:00,11
13,2020,1,11,08:00,11
38,2020,1,11,09:00,11
54,2020,1,11,10:00,11
64,2020,1,11,11:00,11
73,2020,1,11,12:00,11
77,2020,1,11,13:00,11
75,2020,1,11,14:00,11
83,2020,1,11,15:00,11
98,2020,1,11,16:00,11
71,2020,1,11,17:00,11
73,2020,1,11,18:00,11
52,2020,1,11,19:00,11
56,2020,1,11,20:00,11
42,2020,1,11,21:00,11
56,2020,1,11,22:00,11
37,2020,1,11,23:00,11
37,2020,1,12,00:00,12
