tree_species,planting_date,tree_age_total,tree_age_planted,protection_status,location,tree_group,municipality
Krim-Linde,,50,41,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Strassenbäume,Basel
Gewöhnliche Esche,,47,38,Gemäss Baumschutzgesetz (BSchG),Ost,Öffentliche Grünflächen,Basel
Gemeine Rosskastanie,,-1,-99,Gemäss Baumschutzgesetz (BSchG),West,Privatbäume gepflegt durch STG,Basel
Krim-Linde,1950-01-01,82,73,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Öffentliche Grünflächen,Basel
Gemeine Rosskastanie,,90,81,Gemäss Baumschutzgesetz (BSchG),West,Strassenbäume,Basel
Kolchischer Ahorn,,57,48,Geschützt (Umfang),Ost,Schul- und Kindergartenareal,Basel
Gewöhnliche Platane,,91,82,Gemäss Baumschutzgesetz (BSchG),Ost,Strassenbäume,Basel
Gewöhnliche Platane,,76,67,Gemäss Baumschutzgesetz (BSchG),West,Strassenbäume,Basel
Gemeine Rosskastanie,1944-01-01,88,79,Gemäss Baumschutzgesetz (BSchG),Ost,Schul- und Kindergartenareal,Basel
Stiel-Eiche,2000-04-04,32,23,Gemäss Baumschutzgesetz (BSchG),Ost,Strassenbäume,Basel
Stiel-Eiche,,82,73,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Schul- und Kindergartenareal,Basel
Gemeine Rosskastanie,1930-03-01,103,93,Geschützt (Umfang),Kleinbasel,Öffentliche Grünflächen,Basel
Europäische Hopfenbuche,2014-04-15,18,9,Gemäss Baumschutzgesetz (BSchG),West,Strassenbäume,Basel
Krim-Linde,1930-01-01,102,93,Geschützt (Umfang),Hörnli,Öffentliche Grünflächen,Basel
Winter-Linde,1980-03-01,53,43,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Strassenbäume,Basel
Krim-Linde,,91,82,Gemäss Baumschutzgesetz (BSchG),West,Strassenbäume,Basel
Gemeine Rosskastanie,,76,67,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Strassenbäume,Basel
Spanischer Feld-Ahorn,2009-10-20,23,14,Gemäss Baumschutzgesetz (BSchG),West,Strassenbäume,Basel
Gewöhnliche Platane,1964-01-01,68,59,Gemäss Baumschutzgesetz (BSchG),Ost,Strassenbäume,Basel
Gewöhnliche Platane,,76,67,Gemäss Baumschutzgesetz (BSchG),West,Strassenbäume,Basel
Gewöhnliche Platane,1970-01-01,62,53,Gemäss Baumschutzgesetz (BSchG),Ost,Strassenbäume,Basel
Vogel-Kirsche,,-1,-99,Gemäss Baumschutzgesetz (BSchG),Ost,Strassenbäume,Basel
Holländische Linde,1944-01-01,88,79,Geschützt (Umfang),Ost,Öffentliche Grünflächen,Basel
Winter-Linde,1974-01-01,58,49,Gemäss Baumschutzgesetz (BSchG),West,Öffentliche Grünflächen,Basel
Blut- oder Kirsch-Pflaume,2010-03-13,22,13,Geschützt (Ersatzpflanzung),Ost,Strassenbäume,Basel
Gemeine Rosskastanie,,106,97,Gemäss Baumschutzgesetz (BSchG),Ost,Öffentliche Grünflächen,Basel
Gewöhnliche Platane,,91,82,Gemäss Baumschutzgesetz (BSchG),Ost,Strassenbäume,Basel
Gefülltblühende Rosskastanie,,43,34,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Strassenbäume,Basel
Gemeine Rosskastanie,1994-01-01,38,29,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Öffentliche Grünflächen,Basel
Spitz-Ahorn,,67,58,Gemäss Baumschutzgesetz (BSchG),Ost,Öffentliche Grünflächen,Basel
Europäische Hopfenbuche,2015-11-23,16,7,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Strassenbäume,Basel
"Spitz-Ahorn ""Deborah""",2019-03-22,13,4,Geschützt (Ersatzpflanzung),Ost,Strassenbäume,Basel
Krim-Linde,1974-01-01,58,49,Geschützt (Umfang),Ost,Öffentliche Grünflächen,Basel
Sommer-Linde,,67,58,Geschützt (Umfang),Ost,Öffentliche Grünflächen,Basel
Gewöhnliche Platane,1920-03-03,112,103,Gemäss Baumschutzgesetz (BSchG),Ost,Öffentliche Grünflächen,Basel
Europäische Hopfenbuche,2014-11-27,17,8,Gemäss Baumschutzgesetz (BSchG),West,Strassenbäume,Basel
Gemeine Rosskastanie,,76,67,Gemäss Baumschutzgesetz (BSchG),West,Strassenbäume,Basel
Berg-Kiefer / Berg-Spirke,1975-09-26,57,48,Geschützt (Umfang),Süd,Schulen,Riehen
Gemeine Rosskastanie,,76,67,Gemäss Baumschutzgesetz (BSchG),West,Strassenbäume,Basel
Kolchischer Ahorn,2006-04-04,26,17,Gemäss Baumschutzgesetz (BSchG),West,Öffentliche Grünflächen,Basel
Gewöhnliche Hain- oder Weissbuche,1976-03-16,-1,47,Geschützt (Umfang),Nord,Naturschutzanlage,Riehen
Dornlose Gleditschie,2016-10-01,16,7,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Schul- und Kindergartenareal,Basel
"Gewöhnliche Esche ""Atlas""",2007-04-04,25,16,Geschützt (Ersatzpflanzung),Ost,Strassenbäume,Basel
Buchsbaum,,-1,-99,Gemäss Baumschutzgesetz (BSchG),Nord,Parkgrün,Riehen
Gewöhnliche Hain- oder Weissbuche,1970-11-16,-1,53,Geschützt (Umfang),Nord,Landschaftsgrün,Riehen
Ungarische Silber-Linde,2014-10-30,18,9,Geschützt (Ersatzpflanzung),West,Strassenbäume,Basel
Gewöhnliche Scheinakazie / Robinie,1924-01-01,108,99,Geschützt (Umfang),Ost,Öffentliche Grünflächen,Basel
Gewöhnlicher Trompetenbaum,2004-01-01,28,19,Gemäss Baumschutzgesetz (BSchG),Ost,Öffentliche Grünflächen,Basel
Sommer-Linde,1950-03-01,83,73,Geschützt (Umfang),Kleinbasel,Strassenbäume,Basel
Kultur-Apfel,1969-03-01,63,54,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Schul- und Kindergartenareal,Basel
Feld-Ahorn,2015-03-03,7,8,Nicht geschützt (BL Waldzone etc.),Ost,Öffentliche Grünflächen,Basel
Blut- oder Kirsch-Pflaume,2021-11-16,11,2,Geschützt (Ersatzpflanzung),Ost,Strassenbäume,Basel
